model,release_date
Always 0,
Always 0.5,
Always 1,
Claude-2.1,2023-11-21
Claude-3-5-Sonnet-20240620,2024-06-20
Claude-3-5-Sonnet-20241022,2024-10-22
Claude-3-7-Sonnet-20250219,2025-02-24
Claude-3-Haiku-20240307,2024-03-13
Claude-3-Opus-20240229,2024-02-29
Claude-Sonnet-4-20250514,2025-05-22
Claude-Opus-4-20250514,2025-05-22
Claude-Opus-4-1-20250805,2025-08-05
DeepSeek-R1,2025-01-20
DeepSeek-V3,2024-12-25
Gemini-1.5-Flash,2024-05-01
Gemini-1.5-Pro,2024-05-01
Gemini-2.0-Flash-Lite-001,2025-02-05
Gemini-2.5-Flash-Preview-04-17,2025-04-17
Gemini-2.5-Pro,2025-06-17
Gemini-2.5-Pro-Exp-03-25,2025-03-25
Gemini-2.5-Pro-Preview-03-25,2025-04-04
Gemini-2.5-Flash,2025-06-17
GLM-4.5-Air-FP8,2025-07-28
GPT-3.5-Turbo-0125,2024-01-25
GPT-4-0613,2023-06-13
GPT-4-Turbo-2024-04-09,2024-04-09
GPT-4.1-2025-04-14,2025-04-14
GPT-4.5-Preview-2025-02-27,2025-02-27
GPT-4o,2024-05-13
GPT-4o-2024-05-13,2024-05-13
GPT-4o-2024-11-20,2024-11-20
GPT-5-2025-08-07,2025-08-07
GPT-5-Mini-2025-08-07,2025-08-07
GPT-5-Nano-2025-08-07,2025-08-07
Grok-2-1212,2024-12-12
Grok-3,2025-02-17
Grok-3-Beta,2025-02-17
Grok-3-Mini-Beta,2025-02-17
Grok-3-Mini,2025-05-19
Imputed Forecaster,
Kimi-K2-Instruct,2025-07-12
Llama-2-70b-Chat-Hf,2023-07-18
Llama-3-70b-Chat-Hf,2024-04-18
Llama-3-8b-Chat-Hf,2024-04-18
Llama-3.2-3B-Instruct-Turbo,2024-09-25
Llama-3.3-70B-Instruct-Turbo,2024-12-06
Llama-4-Maverick-17B-128E-Instruct-FP8,2025-04-05
Llama-4-Scout-17B-16E-Instruct,2025-04-05
"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) geometric mean log odds with news",
"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) geometric mean with news",
"LLM Crowd (gpt-4o, claude-3.5-sonnet, gemini-1.5-pro) median with news",
Magistral-Medium-2506,2025-05-28
Meta-Llama-3.1-405B-Instruct-Turbo,2024-07-23
Mistral-Large-2411,2024-11-18
Mistral-Large-2407,2024-07-24
Mistral-Large-Latest,2024-02-26
Mixtral-8x22B-Instruct-V0.1,2024-04-17
Mixtral-8x7B-Instruct-V0.1,2023-12-11
Naive Forecaster,
O3-2025-04-16,2025-04-16
O3-Mini-2025-01-31,2025-01-31
O4-Mini-2025-04-16,2025-04-16
Public median forecast,
Qwen1.5-110B-Chat,2024-04-25
Qwen2.5-72B-Instruct-Turbo,2024-09-19
Qwen3-235B-A22B-Fp8-Tput,2025-04-29
QwQ-32B-Preview,2024-11-28
Random Uniform,
Superforecaster median forecast,
