model,model_days_active_market,model_days_active_dataset,model_organization,diff_adj_brier_score_market,n_forecasts_market,diff_adj_brier_score_dataset,n_forecasts_dataset,diff_adj_brier_score
Superforecaster median forecast,435,435,ForecastBench,0.036608959123370144,54,0.12975717757670602,521,0.08318306835003808
GPT-4.5-Preview-2025-02-27 (zero shot with freeze values),211,211,OpenAI,0.052524561911913376,122,0.1514668111860349,2359,0.10199568654897413
GPT-4.5-Preview-2025-02-27 (scratchpad with freeze values),211,211,OpenAI,0.05854293281355272,122,0.14694711725216458,2359,0.10274502503285865
Claude-3-7-Sonnet-20250219 (scratchpad with freeze values),211,211,Anthropic,0.05808063929132762,380,0.15199936227752708,6998,0.10504000078442735
O3-2025-04-16 (zero shot with freeze values),155,155,OpenAI,0.06598132261224765,55,0.14648052944423512,886,0.10623092602824138
O4-Mini-2025-04-16 (zero shot with freeze values),141,141,OpenAI,0.07412339262138568,86,0.14677107398980552,1764,0.1104472333055956
Claude-3-7-Sonnet-20250219 (zero shot with freeze values),211,211,Anthropic,0.061756571238696045,380,0.15985965215140535,6998,0.1108081116950507
O3-Mini-2025-01-31 (zero shot with freeze values),211,211,OpenAI,0.06167271098608049,233,0.16087459149503844,4056,0.11127365124055946
DeepSeek-R1 (scratchpad with freeze values),211,211,DeepSeek,0.06562146140747321,294,0.1580272380072827,5234,0.11182434970737795
GPT-4.1-2025-04-14 (scratchpad with freeze values),155,155,OpenAI,0.06973996609299851,141,0.15526356647660727,2650,0.11250176628480289
Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),211,211,Anthropic,0.058389050501853945,380,0.16761480633831588,6998,0.11300192842008491
Grok-beta (zero shot with freeze values),183,183,xAI,0.05623310778471344,117,0.17002865272531692,1989,0.11313088025501518
GPT-4.1-2025-04-14 (zero shot with freeze values),155,155,OpenAI,0.07458055836250205,141,0.15366615480396578,2650,0.11412335658323391
O3-2025-04-16 (scratchpad with freeze values),155,155,OpenAI,0.07560424024861129,55,0.1526749729967182,886,0.11413960662266474
Claude-3-5-Sonnet-20241022 (zero shot with freeze values),211,211,Anthropic,0.06695341271238026,380,0.16464840793877317,6998,0.11580091032557671
Claude-3-5-Sonnet-20240620 (scratchpad with freeze values),435,435,Anthropic,0.06869405991987951,498,0.1652403355550256,8387,0.11696719773745255
Meta-Llama-3.1-405B-Instruct-Turbo (zero shot with freeze values),141,141,Meta,0.06687204378417635,86,0.16770841767313885,1764,0.1172902307286576
Gemini-2.5-Flash-Preview-04-17 (scratchpad with freeze values),155,155,Google,0.0796341611577022,55,0.15536952342978816,886,0.11750184229374518
DeepSeek-V3 (zero shot with freeze values),211,211,DeepSeek,0.06563640769099724,294,0.1695939916957767,5234,0.11761519969338698
Claude-3-5-Sonnet-20240620 (zero shot with freeze values),435,435,Anthropic,0.06935461795180722,498,0.16631898724216046,8387,0.11783680259698384
GPT-4-Turbo-2024-04-09 (zero shot with freeze values),435,435,OpenAI,0.06682075028757228,204,0.17195930955276947,3153,0.11939002992017088
Qwen3-235B-A22B-Fp8-Tput (scratchpad with freeze values),141,141,Qwen,0.07619295657487404,86,0.16318335763345632,1764,0.11968815710416518
GPT-4o-2024-05-13 (zero shot with freeze values),183,183,OpenAI,0.06391200676737543,258,0.1764552625927308,4639,0.12018363468005312
Public median forecast,435,435,ForecastBench,0.07707958759559236,54,0.16397244351720508,521,0.12052601555639872
Gemini-2.5-Flash-Preview-04-17 (zero shot),155,155,Google,0.08748454988497492,55,0.15494375783622158,886,0.12121415386059825
GPT-4.5-Preview-2025-02-27 (zero shot),211,211,OpenAI,0.09285737133814287,122,0.1514668111860349,2359,0.12216209126208888
O4-Mini-2025-04-16 (scratchpad with freeze values),141,141,OpenAI,0.09385875890045545,86,0.15211104522415925,1764,0.12298490206230735
O3-Mini-2025-01-31 (scratchpad with freeze values),211,211,OpenAI,0.08218115870769876,61,0.16543394473464398,1181,0.12380755172117137
O3-2025-04-16 (zero shot),155,155,OpenAI,0.10229051297588401,55,0.14648052944423512,886,0.12438552121005957
Mistral-Large-2407 (zero shot with freeze values),183,183,Mistral,0.06807634851519118,258,0.18146565276302615,4639,0.12477100063910866
Claude-3-7-Sonnet-20250219 (scratchpad),211,211,Anthropic,0.09851711006106445,380,0.15199936227752708,6998,0.12525823616929577
GPT-4.5-Preview-2025-02-27 (scratchpad),211,211,OpenAI,0.10367315002666747,122,0.14694711725216458,2359,0.125310133639416
Llama-3.3-70B-Instruct-Turbo (scratchpad with freeze values),211,211,Meta,0.07390432447553813,380,0.17730831494791863,6998,0.12560631971172836
O3-2025-04-16 (scratchpad),155,155,OpenAI,0.09894285843042946,55,0.1526749729967182,886,0.12580891571357383
Claude-3-Opus-20240229 (zero shot with freeze values),435,435,Anthropic,0.08223181217829467,204,0.17275478476156006,3153,0.12749329846992735
