model,model_days_active_market,model_days_active_dataset,organization,diff_adj_brier_score_market,n_forecasts_market,diff_adj_brier_score_dataset,n_forecasts_dataset,diff_adj_brier_score
Superforecaster median forecast,416,416,ForecastBench,0.026638702048068508,54,0.12945106392054834,521,0.07804488298430842
GPT-4.5-Preview-2025-02-27 (zero shot with freeze values),192,192,OpenAI,0.0582497102367264,121,0.15040298144014722,2066,0.10432634583843681
GPT-4.5-Preview-2025-02-27 (scratchpad with freeze values),192,192,OpenAI,0.06428992717887516,121,0.14556266779542312,2066,0.10492629748714914
Claude-3-7-Sonnet-20250219 (scratchpad with freeze values),192,192,Anthropic,0.06304162113526873,372,0.15203011437925368,6474,0.1075358677572612
O3-2025-04-16 (zero shot with freeze values),136,136,OpenAI,0.07074074680819487,54,0.1478210736153296,886,0.10928091021176223
O4-Mini-2025-04-16 (zero shot with freeze values),122,122,OpenAI,0.07470637820352485,81,0.14562923270586248,1762,0.11016780545469367
Claude-3-7-Sonnet-20250219 (zero shot with freeze values),192,192,Anthropic,0.06691232581268808,372,0.15941442578447457,6474,0.11316337579858132
GPT-4.1-2025-04-14 (scratchpad with freeze values),136,136,OpenAI,0.07186372164539284,135,0.15628291420253465,2648,0.11407331792396375
GPT-4-Turbo-2024-04-09 (zero shot with freeze values),416,416,OpenAI,0.05749920374922421,199,0.17124852102711557,3151,0.11437386238816989
DeepSeek-R1 (scratchpad with freeze values),192,192,DeepSeek,0.07206177978132733,291,0.15774103347698612,4712,0.11490140662915672
O3-Mini-2025-01-31 (zero shot with freeze values),192,192,OpenAI,0.07000123692554916,231,0.16013634619203676,3827,0.11506879155879296
GPT-4.1-2025-04-14 (zero shot with freeze values),136,136,OpenAI,0.07691949579354102,135,0.1539587484425271,2648,0.11543912211803406
Public median forecast,416,416,ForecastBench,0.06710933052029072,54,0.1638582684407019,521,0.11548379948049631
Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),192,192,Anthropic,0.06317181000623645,372,0.168350072834212,6474,0.11576094142022422
Grok-3-Beta (zero shot with freeze values),136,136,xAI,0.06343045859012997,135,0.16813693298437,2648,0.11578369578724998
Grok-2-1212 (zero shot with freeze values),164,164,xAI,0.06460303365535547,116,0.1673050581426243,1760,0.11595404589898989
Grok-3-Mini-Beta (zero shot with freeze values),136,136,xAI,0.06294089607161146,135,0.1696185970914676,2648,0.11627974658153953
Meta-Llama-3.1-405B-Instruct-Turbo (zero shot with freeze values),122,122,Meta,0.06702390906772238,81,0.1666384121936037,1762,0.11683116063066304
Claude-3-5-Sonnet-20240620 (scratchpad with freeze values),416,416,Anthropic,0.06881463640836732,490,0.16524114804145998,7863,0.11702789222491365
O3-2025-04-16 (scratchpad with freeze values),136,136,OpenAI,0.08053853328967636,54,0.1536317699894831,886,0.11708515163957973
Gemini-2.5-Pro-Preview-03-25 (zero shot with freeze values),136,136,Google,0.08484857495634301,54,0.1496331967276321,886,0.11724088584198755
Claude-3-5-Sonnet-20240620 (zero shot with freeze values),416,416,Anthropic,0.06957596681632655,490,0.16584783746661577,7863,0.11771190214147116
Claude-3-5-Sonnet-20241022 (zero shot with freeze values),192,192,Anthropic,0.07210197570516119,372,0.16413401305664016,6474,0.11811799438090068
Qwen3-235B-A22B-Fp8-Tput (scratchpad with freeze values),122,122,Qwen,0.0767945541294508,81,0.1620794417566003,1762,0.11943699794302555
DeepSeek-V3 (zero shot with freeze values),192,192,DeepSeek,0.07231267997842722,291,0.16800419949519257,4712,0.1201584397368099
Gemini-2.5-Flash-Preview-04-17 (scratchpad with freeze values),136,136,Google,0.08464723051189857,54,0.15677778769117612,886,0.12071250910153734
DeepSeek-V3 (scratchpad with freeze values),192,192,DeepSeek,0.08481790610939677,291,0.15869486296128155,4712,0.12175638453533916
GPT-4o-2024-05-13 (zero shot with freeze values),164,164,OpenAI,0.0688161872199517,251,0.17488991784785485,4408,0.12185305253390327
Claude-3-Opus-20240229 (zero shot with freeze values),416,416,Anthropic,0.07327585639096978,199,0.1719536728307705,3151,0.12261476461087015
O4-Mini-2025-04-16 (scratchpad with freeze values),122,122,OpenAI,0.0956903103022903,81,0.1514258894921281,1762,0.1235580998972092
Gemini-2.5-Flash-Preview-04-17 (zero shot),136,136,Google,0.09264438569708375,54,0.15587798146555534,886,0.12426118358131955
GPT-4.5-Preview-2025-02-27 (zero shot),192,192,OpenAI,0.09895407180697433,121,0.15040298144014722,2066,0.12467852662356077
Meta-Llama-3.1-405B-Instruct-Turbo (scratchpad with freeze values),122,122,Meta,0.07668475474673475,81,0.17288744738089087,1762,0.12478610106381281
GPT-4-0613 (zero shot with freeze values),416,416,OpenAI,0.06271594455287877,118,0.1875960456956886,1389,0.1251559951242837
Mistral-Large-2407 (zero shot with freeze values),164,164,Mistral,0.07309666598862283,251,0.18061993145947008,4408,0.12685829872404647
Gemini-2.5-Pro-Preview-03-25 (zero shot),136,136,Google,0.10424955199338004,54,0.1496331967276321,886,0.12694137436050607
GPT-4.5-Preview-2025-02-27 (scratchpad),192,192,OpenAI,0.10972617924499084,121,0.14556266779542312,2066,0.127644423520207
O3-2025-04-16 (zero shot),136,136,OpenAI,0.10770832958597265,54,0.1478210736153296,886,0.12776470160065112
Llama-3.3-70B-Instruct-Turbo (scratchpad with freeze values),192,192,Meta,0.07955350855462356,372,0.1766710279238011,6474,0.12811226823921235
Claude-3-7-Sonnet-20250219 (scratchpad),192,192,Anthropic,0.10446231708284937,372,0.15203011437925368,6474,0.12824621573105152
Qwen2.5-72B-Instruct-Turbo (zero shot with freeze values),122,122,Qwen,0.07181052613679403,81,0.18529212010122761,1762,0.12855132311901082
Claude-3-5-Sonnet-20240620 (scratchpad with news with freeze values),416,416,Anthropic,0.08687099014983074,118,0.17050662215357199,1389,0.12868880615170136
O3-2025-04-16 (scratchpad),136,136,OpenAI,0.10430794069708374,54,0.1536317699894831,886,0.12896985534328342
O3-Mini-2025-01-31 (scratchpad with freeze values),192,192,OpenAI,0.09673860698366502,231,0.16135518990774095,3827,0.129046898445703
Llama-4-Maverick-17B-128E-Instruct-FP8 (scratchpad with freeze values),150,150,Meta,0.08198180532051025,193,0.17865678468234453,3524,0.1303192950014274
Llama-3.3-70B-Instruct-Turbo (zero shot with freeze values),192,192,Meta,0.07903379135032251,372,0.18408401228432011,6474,0.13155890181732133
O4-Mini-2025-04-16 (zero shot),122,122,OpenAI,0.11758997697389523,81,0.14562923270586248,1762,0.13160960483987885
Gemini-2.5-Flash-Preview-04-17 (zero shot with freeze values),136,136,Google,0.10801682588226894,54,0.15587798146555534,886,0.13194740367391214
QwQ-32B-Preview (scratchpad with freeze values),164,164,Qwen,0.07695149970112097,170,0.1872008019709295,2646,0.13207615083602525
GPT-4o (scratchpad with freeze values),416,416,OpenAI,0.08052856430237315,118,0.1850881983234784,1389,0.13280838131292577
Grok-2-1212 (zero shot),164,164,xAI,0.10182549820300035,116,0.1673050581426243,1760,0.13456527817281233
GPT-4-Turbo-2024-04-09 (scratchpad with freeze values),416,416,OpenAI,0.08749407021188715,199,0.18170977142381506,3151,0.1346019208178511
GPT-4.1-2025-04-14 (zero shot),136,136,OpenAI,0.11693750320168916,135,0.1539587484425271,2648,0.13544812582210813
Claude-3-5-Sonnet-20240620 (superforecaster with news 1),416,416,Anthropic,0.10231692447186463,118,0.1689986800297419,1389,0.13565780225080326
O4-Mini-2025-04-16 (scratchpad),122,122,OpenAI,0.11989454487020387,81,0.1514258894921281,1762,0.135660217181166
Claude-3-5-Sonnet-20241022 (scratchpad),192,192,Anthropic,0.1051732162161827,372,0.168350072834212,6474,0.13676164452519735
Claude-3-5-Sonnet-20241022 (zero shot),192,192,Anthropic,0.11331461672666657,372,0.16413401305664016,6474,0.13872431489165338
GPT-4.1-2025-04-14 (scratchpad),136,136,OpenAI,0.1218903792750225,135,0.15628291420253465,2648,0.13908664673877857
GPT-4o (scratchpad with news with freeze values),416,416,OpenAI,0.08739021684474602,118,0.1909076367684028,1389,0.13914892680657442
Gemini-2.5-Flash-Preview-04-17 (scratchpad),136,136,Google,0.12185337125263931,54,0.15677778769117612,886,0.1393155794719077
GPT-4o (zero shot with freeze values),416,416,OpenAI,0.0694910427769494,118,0.20943657845306804,1389,0.13946381061500873
Claude-3-5-Sonnet-20240620 (zero shot),416,416,Anthropic,0.1131606816530612,490,0.16584783746661577,7863,0.13950425955983847
GPT-4o-2024-05-13 (scratchpad with freeze values),164,164,OpenAI,0.08187960650866963,251,0.19728573227616703,4408,0.1395826693924183
Grok-3-Beta (zero shot),136,136,xAI,0.11149533283058544,135,0.16813693298437,2648,0.1398161329074777
